##pix	wave	b0	h	c	g
205	1861.8	0.7104	0.134951	-0.34289	0.151349
206	1870.1	0.70483	0.134951	-0.34289	0.150091
207	1877.3	0.71571	0.134951	-0.34289	0.149623
208	1885.7	0.69762	0.134951	-0.34289	0.151524
209	1893.7	0.6975	0.134951	-0.34289	0.152276
210	1901.5	0.69755	0.134951	-0.34289	0.150264
211	1910	0.70019	0.134951	-0.34289	0.148969
212	1918	0.71916	0.134951	-0.34289	0.147243
213	1925.3	0.7135	0.134951	-0.34289	0.145018
214	1934.3	0.70712	0.134951	-0.34289	0.144786
215	1942	0.6742	0.134951	-0.34289	0.14896
216	1948.8	0.68668	0.134951	-0.34289	0.147914
217	1957.6	0.68906	0.134951	-0.34289	0.14671
218	1965.9	0.70681	0.134951	-0.34289	0.142207
219	1973.3	0.68555	0.134951	-0.34289	0.145627
220	1981.3	0.69536	0.134951	-0.34289	0.141959
221	1989.4	0.68132	0.134951	-0.34289	0.143049
222	1997.7	0.71531	0.134951	-0.34289	0.136278
223	2005.8	0.71342	0.134951	-0.34289	0.136457
224	2013	0.71891	0.134951	-0.34289	0.133531
225	2021.5	0.69833	0.134951	-0.34289	0.136746
226	2029.3	0.70512	0.134951	-0.34289	0.134771
227	2037.4	0.70408	0.134951	-0.34289	0.135498
228	2045.8	0.71168	0.134951	-0.34289	0.132826
229	2053.3	0.70276	0.134951	-0.34289	0.135628
